inputs,outputs,faulty_output_prob,regular_diagnoser_time,backward_diagnoser_time,best_prob_diagnoser_time,regular_diagnoser_output,backward_diagnoser_output,best_prob_diagnoser_output
"[1, 1, 1, 0, 0]","[0, 0]",0.09,0.0,0.0,0.0,"[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.16562), ([gate16, gate22], 0.16562), ([gate11, gate22], 0.16562), ([gate10, gate16], 0.16562), ([gate10, gate11], 0.16562)]"
"[1, 1, 1, 0, 0]","[0, 0]",0.07,0.0,0.0,0.0,"[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.17298), ([gate16, gate22], 0.17298), ([gate11, gate22], 0.17298), ([gate10, gate16], 0.17298), ([gate10, gate11], 0.17298)]"
"[1, 1, 1, 0, 0]","[0, 0]",0.05,0.0,0.0,0.0,"[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.1805), ([gate16, gate22], 0.1805), ([gate11, gate22], 0.1805), ([gate10, gate16], 0.1805), ([gate10, gate11], 0.1805)]"
"[1, 1, 1, 0, 0]","[0, 0]",0.03,0.0,0.0,0.0,"[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.18818), ([gate16, gate22], 0.18818), ([gate11, gate22], 0.18818), ([gate10, gate16], 0.18818), ([gate10, gate11], 0.18818)]"
"[1, 1, 1, 0, 0]","[0, 0]",0.01,0.0,0.0,0.0,"[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.19602), ([gate16, gate22], 0.19602), ([gate11, gate22], 0.19602), ([gate10, gate16], 0.19602), ([gate10, gate11], 0.19602)]"
"[1, 1, 1, 0, 1]","[0, 0]",0.11,0.0,0.015621423721313477,0.0,"[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]"
"[1, 1, 1, 0, 1]","[0, 0]",0.09,0.0,0.015621423721313477,0.0,"[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.184022), ([gate11, gate22], 0.184022), ([gate10, gate11], 0.184022)]"
"[1, 1, 1, 0, 1]","[0, 0]",0.07,0.0,0.015621423721313477,0.0,"[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.1922), ([gate11, gate22], 0.1922), ([gate10, gate11], 0.1922)]"
"[1, 1, 1, 0, 1]","[0, 0]",0.05,0.0,0.015621423721313477,0.0,"[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.200556), ([gate11, gate22], 0.200556), ([gate10, gate11], 0.200556)]"
"[1, 1, 1, 0, 1]","[0, 0]",0.03,0.0,0.015621423721313477,0.0,"[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.176022), ([gate11, gate22], 0.176022), ([gate10, gate11], 0.176022)]","[([gate22, gate23], 0.209089), ([gate11, gate22], 0.209089), ([gate10, gate11], 0.209089)]"
